,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
63,4,557,558,2095.0,2100.874236883362,23.496947533447383,0.0028039316865688946,2021-07-12 11:55:00,2021-07-12 12:00:00,0 days 00:05:00
64,4,559,563,2098.2,2094.5105778530474,-14.757688587809753,-0.0017583748674827593,2021-07-12 12:05:00,2021-07-12 12:25:00,0 days 00:20:00
65,4,568,571,2095.65,2091.8856918655956,-15.057232537617892,-0.001796248483479812,2021-07-12 12:50:00,2021-07-12 13:05:00,0 days 00:15:00
66,-4,574,594,2082.45,2087.886768781025,-21.747075124099865,-0.002610755975425594,2021-07-12 13:20:00,2021-07-12 15:00:00,0 days 01:40:00
67,-4,597,600,2083.9,2100.0,-64.39999999999964,-0.007725898555592803,2021-07-12 15:15:00,2021-07-13 09:15:00,0 days 18:00:00
68,4,603,610,2098.85,2092.637399969523,-24.850400121908024,-0.002960001920326416,2021-07-13 09:30:00,2021-07-13 10:05:00,0 days 00:35:00
69,-4,614,620,2094.5,2088.492851378679,24.028594485283975,0.0028680585444359474,2021-07-13 10:25:00,2021-07-13 10:55:00,0 days 00:30:00
70,-4,621,622,2091.5,2095.255610313372,-15.022441253488068,-0.0017956539867902688,2021-07-13 11:00:00,2021-07-13 11:05:00,0 days 00:05:00
71,4,627,640,2095.75,2093.1013951263444,-10.594419494622343,-0.0012637981026628609,2021-07-13 11:30:00,2021-07-13 12:35:00,0 days 01:05:00
72,-4,641,646,2093.5,2097.4,-15.600000000000364,-0.0018629090040602758,2021-07-13 12:40:00,2021-07-13 13:05:00,0 days 00:25:00
73,4,647,657,2098.05,2102.527488023523,17.90995209409084,0.0021341188358345864,2021-07-13 13:10:00,2021-07-13 14:00:00,0 days 00:50:00
74,4,661,668,2100.0,2095.523715461638,-17.905138153448206,-0.0021315640658866597,2021-07-13 14:20:00,2021-07-13 14:55:00,0 days 00:35:00
75,4,671,675,2098.2,2094.5917076119736,-14.433169552105028,-0.0017197085063512807,2021-07-13 15:10:00,2021-07-14 09:15:00,0 days 18:05:00
