date,Open,High,Low,Close,Volume
04/10/20 15:00,10604.54,10608.35,10588,10591.45,8000924.657
04/10/20 14:00,10610.65,10612.37,10588.7,10604.45,7283775.86
04/10/20 13:00,10606.41,10622.45,10596.61,10610.65,11538697.46
04/10/20 12:00,10600.75,10608.67,10575,10606.4,7489047.619
04/10/20 11:00,10586.59,10610,10575,10600.75,9114987.083
04/10/20 10:00,10595.52,10598.46,10570.47,10586.59,9057605.534
04/10/20 9:00,10599.59,10603,10582.87,10595.52,9252619.776
04/10/20 8:00,10612.83,10625,10582.1,10599.58,12623098.4
04/10/20 7:00,10618,10630.21,10602,10612.83,8751788.574
04/10/20 6:00,10562.28,10637.35,10562.28,10618,19191362.49
04/10/20 5:00,10565.83,10578,10561.12,10562.28,4187547.636
04/10/20 4:00,10545.48,10579.81,10544.4,10565.83,8439948.82
04/10/20 3:00,10548.14,10559.73,10542.08,10545.49,7267569.451
04/10/20 2:00,10541.14,10553.46,10527.33,10548.12,8673102.443
04/10/20 1:00,10543.06,10547.9,10517.99,10541.14,9852360.958
04/10/20 0:00,10542.07,10558.14,10517.87,10543.06,8099582.289
03/10/20 23:00,10558.45,10564.54,10537.79,10542.06,7499853.941
03/10/20 22:00,10568.36,10568.36,10530,10558.46,10201941.76
03/10/20 21:00,10565.01,10572.78,10555,10568.37,6512966.854
03/10/20 20:00,10582.57,10588.43,10555.12,10565.02,6620924.229
03/10/20 19:00,10574.11,10597.13,10569,10582.62,16633704.89
03/10/20 18:00,10581.71,10589.4,10563.4,10574.06,9851060.101
03/10/20 17:00,10579.41,10585.26,10560.7,10581.7,9991112.319
03/10/20 16:00,10541.97,10603.56,10535.04,10579.41,15854171.95
03/10/20 15:00,10534.78,10553.83,10531.03,10541.98,9680752.47
03/10/20 14:00,10528.2,10541.33,10524.58,10534.78,7531477.394
03/10/20 13:00,10535.54,10547.97,10518.73,10528.2,10099543.77
03/10/20 12:00,10536.65,10542.58,10517.87,10535.54,9387433.801
03/10/20 11:00,10549.31,10564,10528.18,10536.65,11315179.5
03/10/20 10:00,10527.64,10549.32,10517.86,10549.31,8922095.649
03/10/20 9:00,10507.66,10539.04,10504.18,10527.64,9601340.134
03/10/20 8:00,10527.75,10550.95,10498.97,10507.66,13759158.25
03/10/20 7:00,10529,10533.04,10512.64,10527.75,8847945.657
03/10/20 6:00,10537.02,10547.84,10496.46,10529.01,12238189.82
03/10/20 5:00,10558,10563.24,10526.66,10537.02,10240415.59
03/10/20 4:00,10552.24,10560,10541.79,10558.01,6580121.087
03/10/20 3:00,10540.35,10562.01,10530.33,10552.24,8395794.153
03/10/20 2:00,10538.06,10547.9,10521.88,10540.34,7259118.221
03/10/20 1:00,10544.92,10556.3,10522.32,10538.07,8572469.793
03/10/20 0:00,10570.4,10576.87,10532,10544.92,9564113.279
02/10/20 23:00,10551.02,10577.53,10549.05,10570.4,7806678.983
02/10/20 22:00,10469.68,10580,10469.46,10551.02,15007464.68
02/10/20 21:00,10540.71,10555.65,10463.02,10469.68,14997782.04
02/10/20 20:00,10515.04,10555.21,10510.29,10540.71,14323311.62
02/10/20 19:00,10553.1,10553.1,10512.04,10515.04,12500156.2
02/10/20 18:00,10537.44,10554,10523.64,10553.11,17972448.49
02/10/20 17:00,10543.68,10560,10518.29,10537.44,14362145.53
02/10/20 16:00,10512.74,10563,10492,10543.69,23583332.36
02/10/20 15:00,10522.13,10548.72,10505.56,10512.74,19057737.51
02/10/20 14:00,10530.42,10552.41,10507.24,10522.13,26943798.23
02/10/20 13:00,10489.28,10600,10436.06,10530.88,40190981.93
02/10/20 12:00,10436.63,10495.29,10431.28,10489.27,24472180.89
02/10/20 11:00,10461.13,10480.56,10432.72,10436.63,22252967.09
02/10/20 10:00,10448.91,10468.77,10374,10461.14,30914858.01
02/10/20 9:00,10455.45,10485.81,10420,10449.16,26895806.12
02/10/20 8:00,10490.88,10495,10425.88,10455.46,26841522.94
02/10/20 7:00,10501.72,10516.53,10471.21,10490.88,20381540.87
02/10/20 6:00,10443.5,10528.56,10412.4,10501.48,30246038.24
02/10/20 5:00,10590.02,10590.27,10385.02,10443.5,65086958.47
02/10/20 4:00,10649.06,10664.64,10587.68,10590.02,20903562.85
02/10/20 3:00,10604.29,10654.83,10603.07,10649.06,13808896.46
02/10/20 2:00,10591.05,10621.81,10586.42,10604.29,12599134.6
02/10/20 1:00,10592.27,10619.08,10587.18,10591.05,11645308.3
02/10/20 0:00,10619.13,10619.14,10584,10592.27,14069766.9
01/10/20 23:00,10607.11,10623,10594.2,10619.13,10445608.45
01/10/20 22:00,10585.3,10634.98,10573.52,10607.11,14858898.1
01/10/20 21:00,10606.03,10630.33,10584.5,10585.3,13353636.63
01/10/20 20:00,10617.74,10620,10567.37,10606.03,18290268.97
01/10/20 19:00,10586.5,10638.8,10567.65,10617.74,33098119.86
01/10/20 18:00,10482.4,10594.01,10464.01,10586.5,37453923.63
01/10/20 17:00,10522.72,10538.24,10470.77,10482.39,45865148.6
01/10/20 16:00,10716.23,10716.23,10437,10522.72,130372951.7
01/10/20 15:00,10857.98,10883.66,10712,10716.23,42699836.05
01/10/20 14:00,10860.01,10864.99,10831.16,10857.98,26446895.83
01/10/20 13:00,10885.96,10895.63,10846,10860,22181226.75
01/10/20 12:00,10903.16,10908.23,10860.25,10885.96,19259017.66
01/10/20 11:00,10865.97,10904.33,10853.02,10903.16,19531602.08
01/10/20 10:00,10896.78,10912.83,10842.16,10865.97,20162813.22
01/10/20 9:00,10872.36,10903.01,10872.16,10896.77,20462830.09
01/10/20 8:00,10824.75,10920,10811.52,10872.35,56523118.1
01/10/20 7:00,10821.29,10839.92,10799.7,10824.75,12652653.69
01/10/20 6:00,10821.07,10844.71,10811.72,10821.29,18908052.13
01/10/20 5:00,10800,10826,10790.85,10821.07,13667900.68
01/10/20 4:00,10798.38,10826.42,10795.78,10800.01,11701775.96
01/10/20 3:00,10817.14,10824.22,10789.01,10798.18,10151589.94
01/10/20 2:00,10838.89,10857.47,10807.39,10817.14,13732338.46
01/10/20 1:00,10788.3,10849.97,10786.74,10838.88,17352077.05
01/10/20 0:00,10776.59,10826.19,10776.59,10788.06,22996705.85
30/09/20 23:00,10745.85,10785,10735.51,10776.59,13302096.19
30/09/20 22:00,10710.92,10760.86,10705,10745.86,10241708.6
30/09/20 21:00,10706.35,10742.68,10703.81,10710.92,10461116.14
30/09/20 20:00,10706.48,10728.77,10685.62,10706.34,14052779.06
30/09/20 19:00,10731.08,10741,10682.28,10706.48,20650389.83
30/09/20 18:00,10768.53,10774.76,10681.73,10731.1,28375580.24
30/09/20 17:00,10784.14,10799,10754.71,10768.52,15911839.13
30/09/20 16:00,10777.39,10787.63,10754.37,10784.13,22239032.44
30/09/20 15:00,10747.28,10793.8,10747.15,10777.39,22986629.19
30/09/20 14:00,10739.92,10760,10738,10747.28,20860845.26
30/09/20 13:00,10728,10754.91,10720.93,10739.93,17868030.53
30/09/20 12:00,10680.53,10747,10670,10728,19451410
30/09/20 11:00,10721.84,10726.29,10680,10681,17449440.66
30/09/20 10:00,10698.95,10728.54,10693.77,10721.84,17604484.77
30/09/20 9:00,10707.67,10707.67,10665.13,10698.94,19562111.72
30/09/20 8:00,10706.56,10730,10685.85,10707.67,16712484.04
30/09/20 7:00,10718.81,10753.73,10690.38,10706.68,21765782.96
30/09/20 6:00,10698.66,10735.39,10675.29,10718.8,19646392.75
30/09/20 5:00,10752.8,10765.78,10698.31,10698.66,14151472.93
30/09/20 4:00,10742.23,10760,10700,10752.79,18599678.18
30/09/20 3:00,10774.37,10781.9,10737.01,10742.08,18118687.76
30/09/20 2:00,10789.45,10827.56,10763.26,10774.47,17277231.2
30/09/20 1:00,10809.18,10821.98,10772.32,10789.45,14116861.93
30/09/20 0:00,10840.58,10849.34,10808.19,10809.17,13873610.79
29/09/20 23:00,10764,10867.54,10764,10840.48,23981154.7
29/09/20 22:00,10770.31,10780.84,10746.74,10763.99,10088523.48
29/09/20 21:00,10756.17,10783.45,10745,10770.31,11557143.41
29/09/20 20:00,10738.98,10780,10738.97,10756.16,18714313.37
29/09/20 19:00,10728.23,10766,10713.9,10737.49,17378326.75
29/09/20 18:00,10675.37,10744.86,10673.5,10727.75,22057103.56
29/09/20 17:00,10692.4,10696.79,10635.87,10675.37,27580666.89
29/09/20 16:00,10725.94,10738.87,10664.78,10692.39,30810017.01
29/09/20 15:00,10759.92,10772.89,10717.06,10725.94,19740613.11
29/09/20 14:00,10757.5,10790.98,10739.44,10759.91,23202184.37
29/09/20 13:00,10762.24,10769.66,10711.48,10757.5,21966658.4
29/09/20 12:00,10758.91,10767,10738.88,10762.24,17818623
29/09/20 11:00,10776.17,10797,10752.7,10758.92,16993427.8
29/09/20 10:00,10721.57,10784.76,10717.18,10776.49,21868978.48
29/09/20 9:00,10736.28,10760,10707,10721.56,20668915.77
29/09/20 8:00,10727,10743.39,10713.41,10736.27,18119933.99
29/09/20 7:00,10742.46,10745.42,10710.7,10726.99,17484054.73
29/09/20 6:00,10680.86,10747.88,10668.26,10742.46,18868995.88
29/09/20 5:00,10694.4,10700,10670,10680.87,12494919.04
29/09/20 4:00,10689.94,10713.25,10687.89,10694.48,10631885.02
29/09/20 3:00,10689.37,10710,10682.23,10689.94,11782521.16
29/09/20 2:00,10683.59,10704.35,10660.85,10689.37,15766556.06
29/09/20 1:00,10710.44,10717.98,10676.09,10683.59,18212569.6
29/09/20 0:00,10696.11,10732.02,10656.82,10710.43,21557736.88
28/09/20 23:00,10867.01,10867.25,10626,10696.12,51426416.87
28/09/20 22:00,10885.08,10885.51,10850,10867,10100459.39
28/09/20 21:00,10869.41,10888.59,10847.23,10885.08,10151236.48
28/09/20 20:00,10868.63,10874.73,10859.42,10869.41,11091960.32
28/09/20 19:00,10871.96,10872.15,10836.08,10869,14137338.58
28/09/20 18:00,10889.24,10889.24,10851.01,10871.96,20502826.39
28/09/20 17:00,10883.26,10918.57,10872.52,10889.24,15120755.9
28/09/20 16:00,10901.89,10908.87,10871.41,10883.27,18989157.65
28/09/20 15:00,10861.01,10910,10856.24,10901.9,22684255.83
28/09/20 14:00,10885.95,10916.8,10859.15,10861.01,20185521.18
28/09/20 13:00,10901.07,10938.25,10870.85,10885.94,26377236.87
28/09/20 12:00,10877.91,10941.99,10837.12,10901.08,41792059.09
28/09/20 11:00,10875.27,10902.49,10855.78,10877.91,23506210.69
28/09/20 10:00,10854.66,10889.99,10833.78,10875.26,21556956.96
28/09/20 9:00,10855.49,10874.2,10830,10854.66,21782843.78
28/09/20 8:00,10854,10890,10842.94,10855.48,22594638.11
28/09/20 7:00,10868.73,10879.84,10836,10854,23403738.92
28/09/20 6:00,10879.55,10885,10847.19,10868.73,21111512.82
28/09/20 5:00,10896.09,10916.6,10863.18,10879.63,16917803.78
28/09/20 4:00,10885.21,10905.13,10866.18,10896.09,21625957.01
28/09/20 3:00,10907.38,10914.99,10872.35,10885.14,14071247.41
28/09/20 2:00,10929.53,10947.84,10900,10907.39,16048717.88
28/09/20 1:00,10888.68,10930.98,10880.3,10930.98,19640275.63
28/09/20 0:00,10774.26,10950,10774.26,10887.71,59644092.07
27/09/20 23:00,10749.64,10784.61,10730.55,10774.25,12187317.81
27/09/20 22:00,10716.84,10757.33,10716.1,10749.63,9118970.249
27/09/20 21:00,10720.56,10737.48,10704.45,10716.84,7020828.574
27/09/20 20:00,10732.01,10733.66,10715.28,10720.56,7953329.42
27/09/20 19:00,10714.2,10741,10700.73,10732,10327834.22
27/09/20 18:00,10725.18,10742.8,10701.58,10714.2,8558734.727
27/09/20 17:00,10720.36,10736.48,10708.16,10725.18,14797791.44
27/09/20 16:00,10754.82,10777,10704.7,10720.35,22278937.84
27/09/20 15:00,10674.43,10766.41,10599.99,10754.82,30134636.58
27/09/20 14:00,10676.37,10687.67,10657.65,10674.44,9946878.042
27/09/20 13:00,10666.97,10685.39,10654.76,10676.37,10443378.21
27/09/20 12:00,10623.62,10671.68,10594.82,10666.97,19851684.4
27/09/20 11:00,10657.12,10666.49,10618.83,10623.5,7239635.968
27/09/20 10:00,10629.79,10678,10625.42,10657.12,13168569.63
27/09/20 9:00,10647.73,10656.15,10618.83,10629.8,12122644.49
27/09/20 8:00,10671.28,10671.28,10608.67,10647.72,17138700.16
27/09/20 7:00,10660.56,10691.48,10651.44,10671.28,12979992.96
27/09/20 6:00,10779.09,10781.91,10620,10660.82,27484659.89
27/09/20 5:00,10780.95,10791.94,10762.5,10779.08,10536738.98
27/09/20 4:00,10781.2,10794.99,10770,10780.95,10245332.96
27/09/20 3:00,10777.12,10788.5,10762.61,10781.2,9094113.982
27/09/20 2:00,10772.38,10785.07,10760,10777.11,10646857.04
27/09/20 1:00,10775.54,10799,10763.5,10772.38,17110097.83
27/09/20 0:00,10728.59,10780,10720.02,10775.53,16781584.05
26/09/20 23:00,10731.46,10751.12,10726.57,10728.6,9493209.41
26/09/20 22:00,10712.34,10744.49,10702.08,10731.46,9398265.103
26/09/20 21:00,10714.92,10750,10712.31,10712.34,9157888.592
26/09/20 20:00,10718.54,10725.98,10701.18,10714.92,8162869.68
26/09/20 19:00,10729.9,10731.08,10705,10718.55,9799215.487
26/09/20 18:00,10742.69,10774.45,10723.64,10729.9,12494161.46
26/09/20 17:00,10749.19,10750,10721,10742.68,11565017.61
26/09/20 16:00,10721,10749.37,10682.78,10749.19,15608064.28
26/09/20 15:00,10706.66,10742.02,10704.32,10721,10803834.66
26/09/20 14:00,10672,10730,10664.97,10706.65,13844001.4
26/09/20 13:00,10686.36,10699,10668.15,10672,13762475.79
26/09/20 12:00,10709.93,10709.94,10666.21,10686.37,14288899.08
26/09/20 11:00,10721.4,10728.59,10696.97,10709.94,9827615.479
26/09/20 10:00,10694.12,10728.77,10661.7,10721.4,12685605.91
26/09/20 9:00,10691,10710,10669.61,10694.11,14275347.86
26/09/20 8:00,10705.84,10713.62,10668,10691,15389412.25
26/09/20 7:00,10732.43,10739.35,10689.01,10705.84,16540636.68
26/09/20 6:00,10727.14,10766,10720.63,10732.31,18208378.38
26/09/20 5:00,10734.77,10820.94,10700.5,10727.14,25877596.22
26/09/20 4:00,10704.85,10737.11,10687.38,10735.04,9246763.313
26/09/20 3:00,10707.25,10746.66,10700.3,10704.86,11044023.45
26/09/20 2:00,10690.2,10722.96,10676.73,10707.24,10525034.6
26/09/20 1:00,10649.87,10700.1,10644.68,10690.05,9907731.341
26/09/20 0:00,10686.57,10706.35,10649.86,10649.86,12605429.66
25/09/20 23:00,10685.83,10698.13,10650,10686.67,11552569.03
